Timestamp,Gender,age,marital_status,student _yrs,ongoing_yr,Department,mnt_ fam_ incm,afmi,aware_Bal_diet,fbl, weight,height, hhac,avg_slp_hours,nat_fruit_juice,fries, green_salad,carrots, vegetables,sft_drink,smoke,cnfj,cf,cgs,ccarrots,cveg,csd,csmk,cslppat 
2021/08/08 7:15:46 pm GMT+6,0,21-25,Single,Undergraduate,4th year and above,Engineering and Physical Sciences,"40,000 - 60,000",Yes. (It got reduced),Yes,No,Less than 50 kg,5 ft. - 5 ft 3 inch,Yes (sometimes),6 - 8 hours,1 - 3 times a week,1-3 times a week,None (I didn't eat green salad),1-3 times a week,None (I didn't eat them),More than 10 times a week,None (I didn't smoke),1 - 3 times a week,1-3 times a week,1-3 times a week,None (I don't eat carrots),None (I don't eat them),More than 10 times a week,None (I don't smoke),I sleep more
2021/08/08 7:38:32 pm GMT+6,0,21-25,Single,Undergraduate,4th year and above,Engineering and Physical Sciences,"60,000 - 80,000",Yes. (It got reduced),Yes,No,71-80 kg,5 ft. 4 inch - 5 ft. 7 inch,Yes (sometimes),6 - 8 hours,1 - 3 times a week,4 - 6 times a week,None (I didn't eat green salad),None (I didn't eat carrots),1-3 times a week,1-3 times a week,None (I didn't smoke),None (I don't drink fruit juice at all),4 - 6 times a week,None (I don't eat green salad),None (I don't eat carrots),1-3 times a week,1-3 times a week,None (I don't smoke),I sleep more
2021/08/08 8:19:56 pm GMT+6,0,21-25,Single,Undergraduate,4th year and above,Engineering and Physical Sciences,"60,000 - 80,000",Yes. (It got reduced),Yes,Yes,61-70 kg,5 ft. 8 inch - 5 ft. 11 inch,Yes (sometimes),6 - 8 hours,1 - 3 times a week,More than 10 times a week,1-3 times a week,4 - 6 times a week,More than 10 times a week,1-3 times a week,None (I didn't smoke),1 - 3 times a week,More than 10 times a week,1-3 times a week,1-3 times a week,More than 10 times a week,1-3 times a week,None (I don't smoke),It did not have any impact at all
2021/08/08 11:05:00 pm GMT+6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/08/10 6:11:28 pm GMT+6,0,15-20,Single,Undergraduate,1st year,Business and Economics,More than 1 Lakh,Yes. (It got reduced),Yes,No,More than 80 kg,5 ft. 8 inch - 5 ft. 11 inch,Yes (regularly),6 - 8 hours,1 - 3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,4 - 6 times a week,1-3 times a week,None (I didn't smoke),1 - 3 times a week,1-3 times a week,4 - 6 times a week,1-3 times a week,4 - 6 times a week,1-3 times a week,None (I don't smoke),I sleep more
2021/08/10 6:14:40 pm GMT+6,1,15-20,Single,Undergraduate,1st year,Business and Economics,More than 1 Lakh,No (Stayed more or less the same / increased),Yes,Yes,Less than 50 kg,5 ft. - 5 ft 3 inch,Yes (sometimes),4 - 6 hours,4 - 6 times a week,1-3 times a week,4 - 6 times a week,1-3 times a week,4 - 6 times a week,1-3 times a week,None (I didn't smoke),4 - 6 times a week,1-3 times a week,4 - 6 times a week,1-3 times a week,4 - 6 times a week,1-3 times a week,None (I don't smoke),I sleep more
2021/08/10 8:37:50 pm GMT+6,0,21-25,Single,Undergraduate,4th year and above,Business and Economics,"60,000 - 80,000",No (Stayed more or less the same / increased),Yes,Yes,71-80 kg,5 ft. 8 inch - 5 ft. 11 inch,Yes (sometimes),6 - 8 hours,4 - 6 times a week,More than 10 times a week,1-3 times a week,1-3 times a week,4 - 6 times a week,1-3 times a week,More than 14 times a week,4 - 6 times a week,4 - 6 times a week,4 - 6 times a week,1-3 times a week,7 - 10 times a week,None (I don't like them),2 - 5 times a week,I sleep more
2021/08/10 9:46:57 pm GMT+6,0,21-25,Single,Undergraduate,4th year and above,Engineering and Physical Sciences,"80,000 - 1 Lakh",Yes. (It got reduced),Yes,Yes,More than 80 kg,5 ft. 8 inch - 5 ft. 11 inch,Yes (sometimes),4 - 6 hours,4 - 6 times a week,More than 10 times a week,4 - 6 times a week,1-3 times a week,1-3 times a week,None (I didn't like them),6 - 14 times a week,7 - 10 times a week,More than 10 times a week,1-3 times a week,1-3 times a week,1-3 times a week,7 - 10 times a week,More than 14 times a week,I sleep less
2021/08/10 9:51:01 pm GMT+6,0,21-25,Single,Was a student,Not a student now,Human Resource Management,More than 1 Lakh,Yes. (It got reduced),Yes,No,More than 80 kg,5 ft. 4 inch - 5 ft. 7 inch,Yes (regularly),Less than 4 hours,1 - 3 times a week,1-3 times a week,4 - 6 times a week,None (I didn't eat carrots),4 - 6 times a week,More than 10 times a week,More than 14 times a week,1 - 3 times a week,4 - 6 times a week,4 - 6 times a week,None (I don't eat carrots),7 - 10 times a week,More than 10 times a week,More than 14 times a week,I sleep less
2021/08/10 9:52:12 pm GMT+6,1,21-25,Single,Undergraduate,4th year and above,Engineering and Physical Sciences,"80,000 - 1 Lakh",Yes. (It got reduced),Yes,Yes,51-60 kg,5 ft. - 5 ft 3 inch,Yes (sometimes),6 - 8 hours,1 - 3 times a week,4 - 6 times a week,4 - 6 times a week,1-3 times a week,4 - 6 times a week,None (I didn't like them),None (I didn't smoke),1 - 3 times a week,None (I don't eat potatoes),4 - 6 times a week,1-3 times a week,7 - 10 times a week,None (I don't like them),None (I don't smoke),It did not have any impact at all
